name,params,steps,mean,std
policy-reinforce,topp=0.99,16,307.028,78.528
direct,,16,335.066,85.3441
confidence-multinomial,,16,284.905,95.714
confidence-noise,noise=1e0,16,308.645,96.562
confidence-noise,noise=1e-1,16,836.266,226.668

policy-reinforce,,32,183.356,54.738
direct,,32,199.721,50.776
confidence-multinomial,,32,169.857,58.948
confidence-noise,noise=1e0,32,186.318,57.733
confidence-noise,noise=1e-1,32,800.009,283.901

policy-reinforce,,64,137.781,40.000
direct,,64,154.470,52.760
confidence-noise,noise=1e-1,64,618.463,213.043
confidence-noise,noise=1e0,64,132.377,39.044

policy-reinforce,,128,123.045,32.908
direct,,128,132.587,34.634
direct,,128,121.833,39.022
